,Cluster,Nmembs
894,Ruprecht_176,45
895,Ruprecht_18,231
896,Ruprecht_19,213
897,Ruprecht_23,151
898,Ruprecht_24,78
899,Ruprecht_26,338
900,Ruprecht_27,250
901,Ruprecht_28,121
902,Ruprecht_29,96
903,Ruprecht_32,32
904,Ruprecht_33,150
905,Ruprecht_34,113
906,Ruprecht_35,53
907,Ruprecht_36,115
908,Ruprecht_37,21
909,Ruprecht_4,29
910,Ruprecht_41,80
911,Ruprecht_42,93
912,Ruprecht_43,2
913,Ruprecht_44,71
914,Ruprecht_45,119
915,Ruprecht_47,69
916,Ruprecht_48,30
917,Ruprecht_50,101
918,Ruprecht_54,57
919,Ruprecht_58,123
920,Ruprecht_60,117
921,Ruprecht_61,38
922,Ruprecht_63,111
923,Ruprecht_66,105
924,Ruprecht_67,99
925,Ruprecht_68,169
926,Ruprecht_71,108
927,Ruprecht_75,50
928,Ruprecht_76,115
929,Ruprecht_77,55
930,Ruprecht_78,98
931,Ruprecht_79,127
932,Ruprecht_8,17
933,Ruprecht_82,213
934,Ruprecht_83,25
935,Ruprecht_84,173
936,Ruprecht_85,11
937,Ruprecht_91,498
938,Ruprecht_93,207
939,Ruprecht_94,151
940,Ruprecht_96,117
941,Ruprecht_97,14
942,Ruprecht_98,670
943,SAI_108,58
944,SAI_109,39
945,SAI_113,20
946,SAI_116,82
947,SAI_118,243
948,SAI_132,115
949,SAI_14,17
950,SAI_149,44
951,SAI_16,33
952,SAI_17,14
953,SAI_24,212
954,SAI_25,87
955,SAI_4,76
956,SAI_72,16
957,SAI_81,88
958,SAI_86,48
959,SAI_91,103
960,SAI_94,64
961,Schuster_1,34
962,Skiff_J0058+68.4,309
963,Skiff_J0458+43.0,80
964,Skiff_J0507+30.8,76
965,Skiff_J0614+12.9,22
966,Skiff_J0619+18.5,158
967,Skiff_J1942+38.6,99
968,Skiff_J2330+60.2,15
969,Stephenson_1,1007
970,Stock_1,942
971,Stock_10,809
972,Stock_12,674
973,Stock_14,155
974,Stock_16,25
975,Stock_17,12
976,Stock_18,56
977,Stock_2,1580
978,Stock_20,94
979,Stock_21,124
980,Stock_23,463
981,Stock_24,130
982,Stock_4,276
983,Stock_5,335
984,Stock_7,555
985,Stock_8,432
986,Teutsch_10,48
987,Teutsch_103,42
988,Teutsch_11,12
989,Teutsch_125,40
990,Teutsch_126,173
991,Teutsch_13,50
992,Teutsch_144,130
993,Teutsch_14a,27
994,Teutsch_156,13
995,Teutsch_2,33
996,Teutsch_22,29
997,Teutsch_23,43
998,Teutsch_28,31
999,Teutsch_30,40
1000,Teutsch_31,28
1001,Teutsch_38,11
1002,Teutsch_44,12
1003,Teutsch_49,146
1004,Teutsch_51,17
1005,Teutsch_52,17
1006,Teutsch_54,19
1007,Teutsch_61,29
1008,Teutsch_74,60
1009,Teutsch_80,38
1010,Teutsch_84,18
1011,Teutsch_85,25
1012,Tombaugh_1,180
1013,Tombaugh_2,39
1014,Tombaugh_4,75
1015,Tombaugh_5,391
1016,Trumpler_1,46
1017,Trumpler_10,1584
1018,Trumpler_11,142
1019,Trumpler_12,141
1020,Trumpler_13,152
1021,Trumpler_14,180
1022,Trumpler_15,147
1023,Trumpler_16,237
1024,Trumpler_17,258
1025,Trumpler_18,207
1026,Trumpler_19,274
1027,Trumpler_2,707
1028,Trumpler_20,270
1029,Trumpler_21,228
1030,Trumpler_22,309
1031,Trumpler_23,145
1032,Trumpler_25,246
1033,Trumpler_26,139
1034,Trumpler_28,338
1035,Trumpler_29,335
1036,Trumpler_3,657
1037,Trumpler_30,276
1038,Trumpler_32,91
1039,Trumpler_33,52
1040,Trumpler_34,15
1041,Trumpler_35,36
1042,Trumpler_5,315
1043,Trumpler_7,196
1044,Trumpler_9,139
1045,Turner_5,411
1046,Turner_9,178
1047,UBC_11,11
1048,UBC_17a,1354
1049,UBC_17b,289
1050,UBC_26,489
1051,UBC_31,695
1052,UBC_33,128
1053,UBC_4,19
1054,UBC_7,77
1055,UBC_83,17
1056,UPK_99,3
1057,UPK_143,9
1058,UPK_150,6
1059,UPK_166,65
1060,UPK_167,158
1061,UPK_180,12
1062,UPK_24,4
1063,UPK_241,10
